* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11 févr. 2025 00:11:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R févr. 11
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.392647 -59.536 -150.2875
1.402739 -59.549 -150.0344
1.412904 -59.563 -149.7795
1.423142 -59.576 -149.5226
1.433455 -59.589 -149.2638
1.443843 -59.602 -149.0031
1.454305 -59.616 -148.7404
1.464844 -59.629 -148.4758
1.475459 -59.642 -148.2092
1.486150 -59.655 -147.9403
1.496920 -59.668 -147.6693
1.507767 -59.682 -147.3960
1.518693 -59.695 -147.1205
1.529698 -59.709 -146.8427
1.540783 -59.722 -146.5627
1.551948 -59.736 -146.2804
1.563194 -59.750 -145.9958
1.574521 -59.764 -145.7090
1.585931 -59.778 -145.4198
1.597423 -59.792 -145.1284
1.608999 -59.806 -144.8347
1.620658 -59.820 -144.5386
1.632402 -59.835 -144.2403
1.644232 -59.849 -143.9396
1.656146 -59.863 -143.6366
1.668147 -59.878 -143.3313
1.680235 -59.892 -143.0237
1.692411 -59.907 -142.7138
1.704675 -59.921 -142.4016
1.717028 -59.936 -142.0870
1.729470 -59.950 -141.7702
1.742003 -59.965 -141.4510
1.754626 -59.980 -141.1296
1.767341 -59.994 -140.8058
1.780147 -60.009 -140.4799
1.793047 -60.024 -140.1516
1.806040 -60.038 -139.8212
1.819128 -60.053 -139.4885
1.832310 -60.067 -139.1536
1.845587 -60.082 -138.8161
1.858961 -60.096 -138.4758
1.872432 -60.109 -138.1327
1.886001 -60.123 -137.7869
1.899667 -60.136 -137.4383
1.913433 -60.149 -137.0869
1.927299 -60.162 -136.7328
1.941265 -60.175 -136.3760
1.955332 -60.188 -136.0165
1.969501 -60.200 -135.6543
1.983773 -60.213 -135.2893
1.998148 -60.226 -134.9217
2.012627 -60.239 -134.5514
2.027212 -60.252 -134.1784
2.041902 -60.266 -133.8027
2.056698 -60.280 -133.4243
2.071602 -60.294 -133.0431
2.086614 -60.309 -132.6591
2.101734 -60.325 -132.2724
2.116964 -60.341 -131.8829
2.132304 -60.358 -131.4905
2.147756 -60.375 -131.0952
2.163320 -60.394 -130.6969
2.178996 -60.413 -130.2956
2.194786 -60.434 -129.8912
2.210690 -60.455 -129.4834
2.226710 -60.478 -129.0716
2.242845 -60.502 -128.6558
2.259098 -60.527 -128.2359
2.275468 -60.552 -127.8119
2.291957 -60.579 -127.3838
2.308566 -60.606 -126.9513
2.325295 -60.634 -126.5146
2.342145 -60.663 -126.0737
2.359117 -60.692 -125.6283
2.376212 -60.722 -125.1786
2.393431 -60.752 -124.7245
2.410775 -60.783 -124.2660
2.428244 -60.814 -123.8031
2.445840 -60.846 -123.3358
2.463564 -60.877 -122.8641
2.481416 -60.909 -122.3879
2.499397 -60.940 -121.9074
2.517509 -60.972 -121.4225
2.535752 -61.003 -120.9333
2.554127 -61.034 -120.4399
2.572635 -61.064 -119.9421
2.591277 -61.094 -119.4393
2.610055 -61.125 -118.9312
2.628968 -61.155 -118.4175
2.648019 -61.185 -117.8980
2.667208 -61.215 -117.3727
2.686535 -61.246 -116.8413
2.706003 -61.276 -116.3036
2.725612 -61.307 -115.7595
2.745363 -61.338 -115.2088
2.765257 -61.369 -114.6513
2.785295 -61.401 -114.0870
2.805478 -61.433 -113.5156
2.825808 -61.466 -112.9371
2.846285 -61.499 -112.3514
2.866910 -61.533 -111.7583
2.887685 -61.568 -111.1578
2.908611 -61.603 -110.5499
2.929688 -61.640 -109.9344
2.950917 -61.678 -109.3103
2.972301 -61.717 -108.6766
2.993839 -61.758 -108.0333
3.015534 -61.799 -107.3805
3.037386 -61.842 -106.7182
3.059396 -61.886 -106.0466
3.081565 -61.931 -105.3659
3.103896 -61.975 -104.6761
3.126388 -62.020 -103.9776
3.149043 -62.065 -103.2707
3.171862 -62.109 -102.5555
3.194847 -62.153 -101.8325
3.217998 -62.195 -101.1021
3.241317 -62.236 -100.3646
3.264805 -62.276 -99.6207
3.288463 -62.314 -98.8708
3.312293 -62.350 -98.1143
3.336295 -62.383 -97.3474
3.360471 -62.415 -96.5706
3.384822 -62.444 -95.7843
3.409350 -62.473 -94.9891
3.434056 -62.500 -94.1855
3.458940 -62.527 -93.3742
3.484005 -62.553 -92.5555
3.509252 -62.579 -91.7301
3.534681 -62.605 -90.8985
3.560295 -62.632 -90.0613
3.586094 -62.660 -89.2188
3.612081 -62.689 -88.3717
3.638255 -62.720 -87.5202
3.664620 -62.754 -86.6649
3.691175 -62.789 -85.8027
3.717923 -62.826 -84.9315
3.744864 -62.864 -84.0518
3.772001 -62.904 -83.1636
3.799335 -62.944 -82.2673
3.826866 -62.985 -81.3633
3.854597 -63.027 -80.4521
3.882529 -63.069 -79.5340
3.910664 -63.112 -78.6095
3.939002 -63.154 -77.6791
3.967546 -63.197 -76.7435
3.996296 -63.239 -75.8033
4.025255 -63.280 -74.8590
4.054423 -63.321 -73.9080
4.083804 -63.361 -72.9459
4.113396 -63.401 -71.9731
4.143204 -63.441 -70.9905
4.173227 -63.481 -69.9988
4.203468 -63.521 -68.9990
4.233928 -63.561 -67.9922
4.264609 -63.602 -66.9797
4.295512 -63.644 -65.9626
4.326639 -63.686 -64.9425
4.357992 -63.730 -63.9210
4.389572 -63.775 -62.8997
4.421380 -63.822 -61.8801
4.453419 -63.869 -60.8606
4.485691 -63.918 -59.8394
4.518196 -63.968 -58.8144
4.550936 -64.019 -57.7835
4.583914 -64.071 -56.7445
4.617131 -64.123 -55.6950
4.650589 -64.176 -54.6325
4.684289 -64.229 -53.5543
4.718233 -64.283 -52.4578
4.752424 -64.337 -51.3400
4.786862 -64.391 -50.1982
4.821549 -64.447 -49.0312
4.856488 -64.503 -47.8399
4.891680 -64.560 -46.6257
4.927127 -64.618 -45.3901
4.962831 -64.676 -44.1349
4.998794 -64.734 -42.8625
5.035017 -64.791 -41.5753
5.071503 -64.848 -40.2763
5.108253 -64.903 -38.9686
5.145270 -64.957 -37.6530
5.182555 -65.009 -36.3145
5.220110 -65.060 -34.9530
5.257937 -65.110 -33.5718
5.296038 -65.160 -32.1745
5.334415 -65.209 -30.7651
5.373071 -65.259 -29.3478
5.412006 -65.309 -27.9270
5.451224 -65.361 -26.5075
5.490725 -65.414 -25.0943
5.530514 -65.470 -23.6867
5.570590 -65.527 -22.2781
5.610957 -65.586 -20.8662
5.651616 -65.646 -19.4488
5.692570 -65.706 -18.0235
5.733821 -65.766 -16.5880
5.775370 -65.824 -15.1400
5.817221 -65.880 -13.6772
5.859375 -65.933 -12.1973
5.901834 -65.983 -10.6956
5.944602 -66.028 -9.1707
5.987679 -66.071 -7.6249
6.031068 -66.112 -6.0611
6.074771 -66.153 -4.4826
6.118792 -66.196 -2.8926
6.163131 -66.242 -1.2949
6.207792 -66.292 0.3067
6.252776 -66.349 1.9121
6.298086 -66.411 3.5348
6.343725 -66.477 5.1753
6.389694 -66.547 6.8317
6.435996 -66.618 8.5020
6.482634 -66.689 10.1840
6.529610 -66.758 11.8750
6.576926 -66.823 13.5720
6.624585 -66.884 15.2748
6.672590 -66.942 16.9922
6.720942 -66.996 18.7268
6.769645 -67.049 20.4802
6.818700 -67.102 22.2537
6.868111 -67.156 24.0479
6.917881 -67.213 25.8632
6.968010 -67.273 27.6994
7.018504 -67.338 29.5698
7.069362 -67.407 31.4768
7.120590 -67.477 33.4144
7.172189 -67.548 35.3758
7.224161 -67.618 37.3533
7.276511 -67.685 39.3387
7.329239 -67.748 41.3230
7.382350 -67.806 43.3217
7.435845 -67.859 45.3461
7.489729 -67.910 47.3907
7.544002 -67.960 49.4493
7.598669 -68.011 51.5146
7.653732 -68.064 53.5787
7.709194 -68.122 55.6343
7.765058 -68.184 57.6943
7.821327 -68.250 59.7645
7.878004 -68.317 61.8455
7.935091 -68.385 63.9383
7.992592 -68.451 66.0439
8.050510 -68.516 68.1633
8.108847 -68.576 70.3045
8.167607 -68.634 72.4770
8.226793 -68.689 74.6799
8.286408 -68.746 76.9117
8.346454 -68.807 79.1699
8.406936 -68.875 81.4515
8.467856 -68.953 83.7648
8.529218 -69.041 86.1353
8.591024 -69.136 88.5572
8.653278 -69.232 91.0193
8.715983 -69.323 93.5065
8.779143 -69.406 95.9994
8.842760 -69.477 98.4990
8.906839 -69.538 101.0325
8.971381 -69.594 103.5902
9.036392 -69.645 106.1602
9.101873 -69.695 108.7300
9.167829 -69.745 111.2869
9.234263 -69.793 113.8489
9.301178 -69.838 116.4236
9.368578 -69.882 119.0046
9.436467 -69.929 121.5855
9.504847 -69.979 124.1600
9.573723 -70.035 126.7365
9.643099 -70.095 129.3412
9.712976 -70.158 131.9642
9.783361 -70.223 134.5921
9.854255 -70.290 137.2093
9.925663 -70.356 139.8042
9.997588 -70.423 142.3999
10.070035 -70.491 145.0097
10.143007 -70.561 147.6431
10.216507 -70.636 150.3101
10.290540 -70.716 153.0234
10.365109 -70.802 155.8084
10.440219 -70.892 158.6643
10.515873 -70.984 161.5793
10.592076 -71.074 164.5343
10.668830 -71.162 167.5257
10.746141 -71.250 170.6038
10.824012 -71.336 173.7354
10.902447 -71.416 176.8748
10.981451 -71.488 179.9724
11.061027 -71.547 -176.9789
11.141180 -71.594 -173.9412
11.221913 -71.639 -170.9088
11.303232 -71.690 -167.8732
11.385140 -71.755 -164.8211
11.467641 -71.833 -161.7269
11.550741 -71.920 -158.5872
11.634442 -72.011 -155.4086
11.718750 -72.101 -152.2043
11.803669 -72.190 -148.9464
11.889203 -72.279 -145.6129
11.975357 -72.366 -142.2352
12.062136 -72.448 -138.8513
12.149543 -72.523 -135.4731
12.237583 -72.589 -132.0510
12.326262 -72.654 -128.6003
12.415583 -72.721 -125.1438
12.505552 -72.795 -121.6922
12.596172 -72.875 -118.2032
12.687449 -72.959 -114.6837
12.779387 -73.045 -111.1477
12.871992 -73.131 -107.5964
12.965268 -73.219 -103.9835
13.059220 -73.306 -100.3148
13.153852 -73.391 -96.6089
13.249170 -73.470 -92.8604
13.345179 -73.544 -89.0107
13.441884 -73.618 -85.1010
13.539289 -73.697 -81.1953
13.637401 -73.787 -77.3059
13.736223 -73.885 -73.3842
13.835761 -73.977 -69.4581
13.936021 -74.049 -65.5569
14.037007 -74.092 -61.6500
14.138725 -74.120 -57.7245
14.241180 -74.158 -53.7870
14.344377 -74.222 -49.8116
14.448323 -74.309 -45.7215
14.553021 -74.410 -41.5755
14.658478 -74.518 -37.4625
14.764700 -74.633 -33.3343
14.871691 -74.754 -29.1510
14.979457 -74.872 -24.9896
15.088005 -74.979 -20.9263
15.197339 -75.077 -16.9086
15.307465 -75.169 -12.8922
15.418389 -75.258 -8.8340
15.530117 -75.339 -4.7015
15.642655 -75.424 -0.4889
15.756008 -75.527 3.8018
15.870182 -75.659 8.2484
15.985184 -75.805 12.8351
16.101019 -75.937 17.4297
16.217694 -76.039 21.9677
16.335214 -76.119 26.5302
16.453586 -76.191 31.1423
16.572815 -76.263 35.8488
16.692909 -76.334 40.6831
16.813872 -76.408 45.6009
16.935713 -76.493 50.6082
17.058436 -76.585 55.7504
17.182048 -76.656 60.8217
17.306556 -76.680 65.7119
17.431967 -76.674 70.5490
17.558286 -76.709 75.3713
17.685521 -76.840 80.2712
17.813677 -77.034 85.3198
17.942762 -77.212 90.4159
18.072783 -77.327 95.5654
18.203746 -77.411 100.8271
18.335658 -77.517 106.0925
18.468526 -77.665 111.3810
18.602356 -77.824 116.7668
18.737156 -77.959 122.2627
18.872934 -78.066 127.9319
19.009695 -78.135 133.5594
19.147447 -78.142 139.0050
19.286197 -78.119 144.3928
19.425953 -78.183 149.7458
19.566721 -78.400 155.1803
19.708510 -78.660 160.7469
19.851326 -78.817 166.3681
19.995177 -78.865 172.0967
20.140070 -78.883 177.7516
20.286013 -78.906 -176.7447
20.433014 -78.973 -171.1834
20.581080 -79.176 -165.2836
20.730219 -79.505 -158.8851
20.880439 -79.733 -152.1938
21.031747 -79.711 -145.2742
21.184152 -79.577 -138.4068
21.337661 -79.505 -132.0508
21.492282 -79.502 -126.0538
21.648024 -79.559 -120.2255
21.804895 -79.677 -114.3231
21.962902 -79.820 -108.3555
22.122054 -79.959 -102.2827
22.282360 -80.087 -96.1315
22.443827 -80.188 -90.2189
22.606464 -80.295 -84.3674
22.770280 -80.540 -78.4363
22.935283 -80.942 -72.2222
23.101481 -81.293 -65.6927
23.268884 -81.484 -58.7501
23.437500 -81.626 -51.6788
23.607338 -81.814 -44.8289
23.778406 -81.977 -38.2798
23.950714 -82.026 -32.2281
24.124271 -82.027 -26.5331
24.299086 -82.097 -20.9348
24.475167 -82.244 -15.2722
24.652524 -82.468 -9.0836
24.831166 -82.727 -2.2797
25.011103 -82.896 5.0738
25.192344 -83.000 13.0982
25.374898 -83.194 21.2558
25.558775 -83.490 29.8281
25.743984 -83.832 38.4295
25.930536 -84.149 47.1648
26.118439 -84.252 55.6584
26.307704 -84.167 63.7751
26.498341 -84.061 71.6309
26.690359 -84.000 79.2124
26.883768 -84.081 86.5381
27.078579 -84.277 93.7409
27.274801 -84.531 100.5746
27.472446 -84.856 107.5429
27.671522 -85.272 114.8770
27.872042 -85.659 122.8234
28.074014 -85.929 131.4198
28.277450 -86.115 140.3682
28.482360 -86.224 149.4863
28.688755 -86.207 158.6316
